日期,指数代码,指数名称,指数英文名称,code,name,成分券英文名称,交易所,交易所英文名称
2026-06-26,000905,中证500,CSI 500,000830,鲁西化工,"Luxi Chemical Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000831,中国稀土,"CHINA RARE EARTH RESOURCES AND TECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000878,云南铜业,Yunnan Copper Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000883,湖北能源,Hubei Energy Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000887,中鼎股份,"Anhui Zhongding Sealing Parts Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000893,亚钾国际,"Asia-Potash International Investment (Guangzhou) Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000898,鞍钢股份,Angang Steel Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000921,海信家电,"HISENSE HOME APPLIANCES GROUP CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000932,华菱钢铁,Hunan Valin Steel Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000937,冀中能源,Jizhong Energy Resources Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000951,中国重汽,CNHTC Jinan Truck Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000959,首钢股份,Beijing Shougang Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000960,锡业股份,Yunnan Tin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000967,盈峰环境,Infore Environment Technology Group Co. Ltd.,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000983,山西焦煤,"Shanxi Coking Coal Energy Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000987,越秀资本,"GUANGZHOU YUEXIU CAPITAL HOLDINGS GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,000997,新 大 陆,"Newland Digital Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,001203,大中矿业,"Dazhong Mining Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,001221,悍高集团,"Higold Group Co.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,001286,陕西能源,"SHAANXI ENERGY INVESTMENT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,001309,德明利,"Shenzhen Techwinsemi Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,001386,马可波罗,"MarcoPolo Holdings Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,001389,广合科技,Delton Technology (Guangzhou) Inc.,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,001696,宗申动力,Chongqing Zongshen Power Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002007,华兰生物,Hualan Biological Engineering INC,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002008,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002025,航天电器,Guizhou Space Appliance Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002032,苏泊尔,"Zhejiang Supor Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002056,横店东磁,Hengdian Group DMEGC Magnetics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002064,华峰化学,"Huafon Chemical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002065,东华软件,"DHC Software Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002078,太阳纸业,Shan Dong Sun Paper Industry Joint Stock Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002085,万丰奥威,"Zhejiang Wanfeng Auto Wheel Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002120,韵达股份,"YUNDA Holding Group CO., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002126,银轮股份,Zhejiang Yinlun Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002130,沃尔核材,Shenzhen Woer Heat-Shrinkable Material Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002131,利欧股份,"LEO GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002138,顺络电子,Shenzhen Sunlord Electronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002152,广电运通,GRG Banking Equipment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002153,石基信息,Beijing Shiji Information Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002155,湖南黄金,Hunan Gold Corporation Limited,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002157,正邦科技,Jiangxi Zhengbang Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002185,华天科技,Tianshui Huatian Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002195,岩山科技,"Shanghai Stonehill Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002203,海亮股份,Zhejiang Hailiang Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002223,鱼跃医疗,Jiangsu Yuyue Medical Equipment & Supply Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002244,滨江集团,Hangzhou Binjiang Real Estate Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002261,拓维信息,"Talkweb Information System Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002262,恩华药业,Jiangsu Nhwa Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002265,建设工业,"Jianshe Industry Group (Yunnan) Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002266,浙富控股,"ZHEFU HOLDING GROUP CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002271,东方雨虹,Beijing Oriental Yuhong Waterproof Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002273,水晶光电,"Zhejiang Crystal-Optech Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002281,光迅科技,Accelink Technologies Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002299,圣农发展,Fujian Sunner Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002312,川发龙蟒,"Sichuan Development Lomon Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002318,久立特材,Zhejiang Jiuli Hi-tech Metals Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002335,科华数据,"KEHUA DATA CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002340,格林美,Shenzhen Green Eco-manufacture Hi-tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002402,和而泰,Shenzhen H&T Intelligent Control Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002407,多氟多,Do-Fluoride Chemicals Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002409,雅克科技,Jiangsu Yoke Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002410,广联达,Glodon Software Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002414,高德红外,Wuhan Guide Infrared Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002423,中粮资本,"COFCO CAPITAL HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002429,兆驰股份,Shenzhen MTC Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002430,杭氧股份,"HANGZHOU OXYGEN PLANT GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002432,九安医疗,Andon Health Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002436,兴森科技,Shenzhen Fastprint Circuit Tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002444,巨星科技,Hangzhou Great Star Industrial Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002461,珠江啤酒,Guangzhou Zhujiang Brewery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002465,海格通信,Guangzhou Haige Communications Group Incorporated Company,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002472,双环传动,Zhejiang Shuanghuan Driveline Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002487,大金重工,Dajin Heavy Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002500,山西证券,Shanxi Securities Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002508,老板电器,Hangzhou Robam Appliances Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002517,恺英网络,Taiya Shoes Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002568,百润股份,"SHANGHAI BAIRUN INVESTMENT HOLDING GROUP CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002583,海能达,Hytera Communications Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002601,龙佰集团,"LB Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002603,以岭药业,Shijiazhuang Yiling Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002608,江苏国信,Sainty Marine Corporation Ltd,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002624,完美世界,"Perfect World Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002670,国盛证券,GUOSHENG SECURITIES Inc.,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002673,西部证券,"WESTERN SECURITIES CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002683,广东宏大,"Guangdong Hongda Holdings Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002738,中矿资源,"Sinomine Resource Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002739,儒意电影,Ruyi Film Entertainment Company Limited,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002756,永兴材料,"Yongxing Special Materials Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002773,康弘药业,"Chengdu Kanghong Pharmaceutical Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002797,第一创业,"First Capital Securities Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002812,恩捷股份,"Yunnan Energy New Material (Group) Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002821,凯莱英,"Asymchem Laboratories (Tianjin) Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002831,裕同科技,"ShenZhen YUTO Packaging Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002841,视源股份,Guangzhou Shiyuan Electronic Technology Company Limited,深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002850,科达利,"Shenzhen Kedali Industry Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002851,麦格米特,"Shenzhen Megmeet Electrical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
2026-06-26,000905,中证500,CSI 500,002926,华西证券,"Huaxi Securities Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
